Idea_ID,Idea_Title,Idea_Topic,Element_ID,Element_Name,Category,Prompts_Total,Prompts_Image,Prompts_Video,Max_Level,Levels_Filled,Has_Level10_Video,Prompt_Step,Aspect_Ratio,Duration_Sec,Level10_Video_Preview,SEO_Status,SEO_Source,SEO_Title,SEO_Tags,SEO_Tag_Count,SEO_Description_Len,SEO_Pinned_Comment,SEO_Demand,SEO_Novelty,SEO_Saturation,SEO_Opportunity,SEO_Verdict,SEO_Top_Keywords,Video_Generated,Video_File_Path,Task_Status,Task_Attempts,Task_Last_Error,Package_Folder,Upload_Ready,Pipeline_Stage,Idea_Status
11,Colossal Wheat Combine Titan,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,pending_video,1,,,❌ No,3️⃣ Needs SEO,new
12,The Solar Wheat Sifter,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,pending_video,1,,,❌ No,3️⃣ Needs SEO,new
13,The Wheat Ocean Harvester,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
14,Titan Sunwheel Irrigator,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
15,Wheat Field Weather Engine,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
16,The Infinite Furrow Walker,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
17,Golden Grain Conveyor City,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
18,Wheatfield Solar Crown,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
19,The Root Network Excavator,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
20,Wheat Sentinel Colossus,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
21,The Atmospheric Grain Elevator,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
22,Chrono-Harvest Megamachine,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
23,Colossal Corn Thresher Titan,Corn Field,6,Corn Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
24,The Solar Corn Silo Walker,Corn Field,6,Corn Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,❌ No,,—,0,,,❌ No,3️⃣ Needs SEO,new
33,The Whispering Canopy Harvester,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.1.Level_10_The_Whispering_Canopy_Harvester\2.1.Level_10_The_Whispering_Canopy_Harvester.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
34,The Timberland Root Walker,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.2.Level_10_The_Timberland_Root_Walker\2.2.Level_10_The_Timberland_Root_Walker.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
35,Bioluminescent Spore Fortress,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.3.Level_10_Bioluminescent_Spore_Fortress\2.3.Level_10_Bioluminescent_Spore_Fortress.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
36,Atmospheric Timber Leviathan,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.4.Level_10_Atmospheric_Timber_Leviathan\2.4.Level_10_Atmospheric_Timber_Leviathan.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
37,The Ancient Grove Siphon,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.5.Level_10_The_Ancient_Grove_Siphon\2.5.Level_10_The_Ancient_Grove_Siphon.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
38,Ironwood Deep-Root Excavator,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.6.Level_10_Ironwood_Deep-Root_Excavator\2.6.Level_10_Ironwood_Deep-Root_Excavator.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
39,Planetary Mycelial Loom,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.7.Level_10_Planetary_Mycelial_Loom\2.7.Level_10_Planetary_Mycelial_Loom.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
40,The Evergreen Core Furnace,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.8.Level_10_The_Evergreen_Core_Furnace\2.8.Level_10_The_Evergreen_Core_Furnace.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
41,Chrono-Bark Synthesizer,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.9.Level_10_Chrono-Bark_Synthesizer\2.9.Level_10_Chrono-Bark_Synthesizer.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
42,The World-Forest Atmospheric Crown,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.10.Level_10_The_World-Forest_Atmospheric_Crown\2.10.Level_10_The_World-Forest_Atmospheric_Crown.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
43,Canopy Orbit Engine,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.1.Level_10_Canopy_Orbit_Engine\3.1.Level_10_Canopy_Orbit_Engine.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
44,Rootway Titan,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.2.Level_10_Rootway_Titan\3.2.Level_10_Rootway_Titan.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
45,Sun Harvester Colossus,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.3.Level_10_Sun_Harvester_Colossus\3.3.Level_10_Sun_Harvester_Colossus.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
46,Cloud Rooter,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.4.Level_10_Cloud_Rooter\3.4.Level_10_Cloud_Rooter.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
47,Bark Foundry,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.5.Level_10_Bark_Foundry\3.5.Level_10_Bark_Foundry.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
48,Season Engine,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.6.Level_10_Season_Engine\3.6.Level_10_Season_Engine.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
49,Branch Bridge Machine,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.7.Level_10_Branch_Bridge_Machine\3.7.Level_10_Branch_Bridge_Machine.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
50,Pollinator Cathedral,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.8.Level_10_Pollinator_Cathedral\3.8.Level_10_Pollinator_Cathedral.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
51,Root Memory Engine,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.9.Level_10_Root_Memory_Engine\3.9.Level_10_Root_Memory_Engine.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
52,Worldtree Stabilizer,Giant Tree,3,Giant Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\3.10.Level_10_Worldtree_Stabilizer\3.10.Level_10_Worldtree_Stabilizer.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
53,Palm Titan Water Crown,Palm Tree,4,Palm Tree,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",❌ No SEO,,,,0,0,,,,,,,,✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\4.1.Level_10_Palm_Titan_Water_Crown\4.1.Level_10_Palm_Titan_Water_Crown.mp4,—,0,,,❌ No,3️⃣ Needs SEO,new
