Table_Name,Row_Count,Column_Count,Status,CSV_Path
idea_elements,243,3,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/idea_elements.csv
idea_embeddings,0,8,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/idea_embeddings.csv
idea_features,0,26,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/idea_features.csv
idea_tags,0,2,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/idea_tags.csv
idea_versions,0,9,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/idea_versions.csv
ideas,243,31,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/ideas.csv
jobs,0,11,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/jobs.csv
models,0,7,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/models.csv
pipeline_row_state,22,20,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/pipeline_row_state.csv
pipeline_runs,8,8,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/pipeline_runs.csv
pipeline_stage_audits,160,13,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/pipeline_stage_audits.csv
prompt_versions,0,8,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/prompt_versions.csv
prompting_style_master,11,15,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/prompting_style_master.csv
prompts,3710,22,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/prompts.csv
publishing,3,22,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/publishing.csv
req_009_tx_test,0,2,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/req_009_tx_test.csv
schedules,0,13,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/schedules.csv
seo_competitors,2760,14,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/seo_competitors.csv
seo_keyword_metrics,14490,10,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/seo_keyword_metrics.csv
seo_runs,258,20,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/seo_runs.csv
settings,0,5,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/settings.csv
step_attempts,0,11,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/step_attempts.csv
step_runs,0,16,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/step_runs.csv
tags,0,5,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/tags.csv
task_attempts,34,9,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/task_attempts.csv
tasks,13,16,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/tasks.csv
test_jsonb_payloads,0,4,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/test_jsonb_payloads.csv
test_req_003_no_uuid,0,2,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/test_req_003_no_uuid.csv
test_req_003_with_uuid,0,4,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/test_req_003_with_uuid.csv
workflow_executions,48,19,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/workflow_executions.csv
workflow_migrations,0,11,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/workflow_migrations.csv
workflow_steps,0,13,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/workflow_steps.csv
workflow_versions,0,9,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/workflow_versions.csv
workflows,0,9,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/workflows.csv
youtube_metadata,238,24,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/youtube_metadata.csv
