id,uuid,name,symbol,group_type,created_at
37,664e15ed-0ace-4ce2-b5da-66ff68fbe51b,Space Station,🌌,Space,2026-08-11 14:54:21.539550
38,08af16d7-a7e1-487d-be38-878393fea78e,Moon,🌙,Space,2026-08-11 14:54:21.539550
39,2c5db395-297a-4b9a-84f8-1fb184fc677a,Sun,☀️,Space,2026-08-11 14:54:21.546202
40,bb03e5ca-a8f8-43bb-91bb-6c7de04ebf8d,Cloud,☁️,Weather,2026-08-11 14:54:21.550338
41,a2c28c34-d634-470c-bfa5-aa1e336f6f69,Tornado,🌪️,Weather,2026-08-11 14:54:21.553291
42,b86ab214-e400-4199-b520-589765ac0425,Storm,⛈️,Weather,2026-08-11 14:54:21.556027
43,c2df249f-13df-454e-8eae-6f1a5e8a8183,Rain,🌧️,Weather,2026-08-11 14:54:21.557767
44,a076f6c9-0fc2-479d-98fe-1b559d6069c2,Lightning,⚡,Weather,2026-08-11 14:54:21.559424
45,78707ff8-eab0-45ae-a732-8377c329a4c5,Fire,🔥,Physics,2026-08-11 14:54:21.559424
46,7abbee8d-cff0-455c-b9f8-5e129ea04ce5,Tsunami,🌊,Weather,2026-08-11 14:54:21.559424
47,6b07f0e3-d1a8-4725-ad20-e78514ae7b56,Earth,🌍,Space,2026-08-11 14:54:21.559424
48,596855e2-f475-466e-8352-f0d4cd089531,Planet,🪐,Space,2026-08-11 14:54:21.559424
49,7ce9f0c1-84aa-44d5-9e46-cdff99773db3,Time,🕰️,Physics,2026-08-11 14:54:21.559424
50,c9e965ff-a683-42d1-9e40-3e0e09b8125e,Gravity,🌀,Physics,2026-08-11 14:54:21.559424
51,507343c3-2658-4e0b-a9f7-a6959b504ed9,Magnet,🧲,Physics,2026-08-11 14:54:21.570119
52,aae3099a-d12f-47aa-9320-5ecdf22b94a1,Crystal,💎,Materials,2026-08-11 14:54:21.570119
53,8d80bd96-5f18-40bb-8b49-775ee385c56b,DNA,🧬,Biology,2026-08-11 14:54:21.572743
54,7166622f-410c-4b4c-8b8c-3269d84f3020,Microbe,🦠,Biology,2026-08-11 14:54:21.572743
55,cae8e274-9218-426c-a7c9-b78b186f30e6,Ant Colony,🐜,Biology,2026-08-11 14:54:21.572743
56,c0c87368-e6d4-4a1a-adaf-08198ce53536,Bee Colony,🐝,Biology,2026-08-11 14:54:21.572743
57,f228191a-4c28-4ae9-9eed-c60e46b1108a,Insect Swarm,🐜,Biology,2026-08-11 14:54:21.572743
58,4c5979a0-1bb3-458a-8d0e-a08216e47b6c,Fish School,🐟,Biology,2026-08-11 14:54:21.579873
59,26a6d2c2-3112-4c84-a6ba-e70d2385182e,Whale,🐋,Biology,2026-08-11 14:54:21.580399
60,9a85b4da-dd9c-4612-a466-db1fac18cf5b,Elephant,🐘,Biology,2026-08-11 14:54:21.580399
61,98a63215-9615-4f92-857e-17b1d89bacfc,Termite Colony,🐜,Biology,2026-08-11 14:54:21.580399
62,9323cd72-7e0c-4b4c-9b46-3d23748e9be9,Spider Web,🕷️,Biology,2026-08-11 14:54:21.580399
63,e8e14b44-81c9-49ec-911d-e8e4b47ce5ca,Shell,🐚,Biology,2026-08-11 14:54:21.580399
64,69e5516c-4641-4382-bd66-76bb24136293,Bird Feather,🪶,Biology,2026-08-11 14:54:21.580399
65,f9a16c41-2fb7-46bf-a936-ff2cb395748f,Snake,🐍,Biology,2026-08-11 14:54:21.589419
66,fb97388a-b819-4e59-ae45-7fc174779743,Reptile,🦎,Biology,2026-08-11 14:54:21.590698
67,36a1ae68-3226-4876-9c00-c8b8f107e660,Octopus,🐙,Biology,2026-08-11 14:54:21.590698
68,01f05cd3-9c78-4856-be4f-0944525a06c5,Root System,🌳,Nature,2026-08-11 14:54:21.590698
69,85645703-5411-4784-b80f-24b7494a0ad7,Mushroom Colony,🍄,Nature,2026-08-11 14:54:21.590698
70,ad7e6319-e442-4545-aaa5-227cddf32a22,Coral Reef,🪸,Nature,2026-08-11 14:54:21.590698
71,db9cd272-1c82-47eb-a679-f9afcc5a58f1,Iceberg,🧊,Environment,2026-08-11 14:54:21.590698
72,6f745156-cdb3-44a9-a0a0-4f3da76de805,Underwater City,🌊,Infrastructure,2026-08-11 14:54:21.590698
73,33a9aa71-4254-456a-8226-d698e2dee3c1,Factory,🏭,Industry,2026-08-11 14:54:21.590698
74,f913607f-fcd4-4659-ab10-6a6405fb4f51,Gear System,⚙️,Machine,2026-08-11 14:54:21.590698
75,6ca8a4a3-8576-41e7-81ff-568993f8b6c3,Construction Crane,🏗️,Machine,2026-08-11 14:54:21.590698
76,3115dfe7-af28-41cf-9a33-e92845a8f8a0,Mining System,⛏️,Industry,2026-08-11 14:54:21.601383
77,043b9887-b33f-4a32-88af-871237206418,Oil Field,🛢️,Industry,2026-08-11 14:54:21.601383
78,cc14fd7a-c386-4385-b569-86f95b0178ce,Conveyor Belt,⛓️,Machine,2026-08-11 14:54:21.601383
79,60bf86d0-e5f1-447f-822a-d7bb1841098a,Tractor,🚜,Vehicle,2026-08-11 14:54:21.601383
80,c161dcd5-dba0-40ca-ae93-5c55a8305f20,Excavator,🚜,Vehicle,2026-08-11 14:54:21.601383
81,e85d9ae8-fa9e-4e82-ba31-001790370ae3,Cargo Fleet,🚛,Vehicle,2026-08-11 14:54:21.606519
82,0078c5e5-878c-43ff-a973-91a0c51a9112,Subway,🚇,Infrastructure,2026-08-11 14:54:21.606519
83,49dc21bf-bdf3-4c8a-ba71-bfedf7275823,Mega Construction Site,🏗️,Infrastructure,2026-08-11 14:54:21.606519
84,31330891-6f6f-4a58-8098-96044f0ff0c5,Tower,🗼,Infrastructure,2026-08-11 14:54:21.606519
85,1e70e561-437a-4fb9-b8b8-0399e6576e78,Fortress,🏰,Infrastructure,2026-08-11 14:54:21.611677
86,e5e7aec3-fed3-4b45-919c-da724b5a2cf8,Stadium,🏟️,Infrastructure,2026-08-11 14:54:21.611677
87,a978e293-2d54-4155-85fd-741408d1bce3,Giant Wheel,🎡,Machine,2026-08-11 14:54:21.611677
88,8de5af28-323c-4d28-b1e2-6c8634160598,Brick Wall,🧱,Materials,2026-08-11 14:54:21.611677
89,2f64ab3f-96f6-462a-9a43-a260138a5942,Fabric / Textile,🧵,Materials,2026-08-11 14:54:21.611677
90,bd293744-76cb-41df-89ae-3bd7e2be16e9,Warehouse,📦,Infrastructure,2026-08-11 14:54:21.611677
91,df54b67d-8732-4eb7-8094-e208676d61ca,Vault,🏦,Infrastructure,2026-08-11 14:54:21.611677
92,69e4438d-54b3-4770-9782-9c22257cec66,Energy Grid,🔋,Tech,2026-08-11 14:54:21.611677
93,3cd829c2-b310-4dff-9371-3f0898c4cd0b,Reactor,☢️,Tech,2026-08-11 14:54:21.622430
94,940818b7-9455-4304-849b-85c0598b2ea6,Solar Farm,☀️,Energy,2026-08-11 14:54:21.622954
95,765c7645-a7d9-444f-831f-4fb3ddf98cfd,Wind Farm,🌬️,Energy,2026-08-11 14:54:21.622954
96,6f6d6724-3465-435c-9355-818926513100,Tidal Energy,🌊,Energy,2026-08-11 14:54:21.622954
97,d07fb049-4aa6-44dc-b8bd-e19e724f4166,Robot Swarm,🤖,Tech,2026-08-11 14:54:21.622954
98,8b027739-5440-431d-81f3-4e4decd4c0dd,Artificial Intelligence,🧠,Tech,2026-08-11 14:54:21.622954
99,479db619-e5aa-45f7-9de4-f09f2a96a199,Network / Web,🕸️,Tech,2026-08-11 14:54:21.622954
100,28fd332d-c88c-4ddd-ac1e-3bac619c7eba,Infinite Loop / Self-Replicating System,♾️,Tech,2026-08-11 14:54:21.632617
