id,workflow_version_id,idea_id,video_id,channel_id,status,definition_snapshot,context_data,idempotency_key,started_at,completed_at,error_summary,created_at,updated_at,attempt_count,max_attempts,error_message,last_failure_time,next_retry_time
9cbd85ef-3adc-4d1b-8579-0c59bef3b9c8,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 09:56:02.331376,2026-09-09 09:56:02.399287,Simulated transient error on attempt 2,2026-09-09 09:56:02.314140,2026-09-09 09:56:02.399287,2,3,Simulated transient error on attempt 2,2026-09-09 09:56:02.378778,
8ebff12d-7b34-437e-9508-422febf3f561,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 09:56:02.431284,2026-09-09 09:56:02.513602,Network unreachable,2026-09-09 09:56:02.414660,2026-09-09 09:56:02.513602,3,3,Network unreachable,2026-09-09 09:56:02.513602,
ffba7264-b2ba-4395-9c10-3a5011b18d26,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 09:57:23.786142,,,2026-09-09 09:57:23.714026,2026-09-09 09:57:23.841193,0,3,,,
7ceeb53c-228b-42c5-9b30-ae1a052f2972,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 09:57:23.885883,2026-09-09 09:57:23.953872,Simulated transient error on attempt 2,2026-09-09 09:57:23.863854,2026-09-09 09:57:23.953872,2,3,Simulated transient error on attempt 2,2026-09-09 09:57:23.932871,
d3ccc224-3f5d-454b-ac5b-f4a569879d7b,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 09:57:23.986839,2026-09-09 09:57:24.056234,Network unreachable,2026-09-09 09:57:23.970545,2026-09-09 09:57:24.056234,3,3,Network unreachable,2026-09-09 09:57:24.056234,
114c4479-fbf3-4c62-8c6b-09ce147d2c93,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 10:00:11.611316,,,2026-09-09 10:00:11.539099,2026-09-09 10:00:11.769847,0,3,,,
06528fad-da6b-4a44-9862-a7debfe8b4e5,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 10:00:11.811464,2026-09-09 10:00:11.887121,Simulated transient error on attempt 2,2026-09-09 10:00:11.793071,2026-09-09 10:00:11.887121,2,3,Simulated transient error on attempt 2,2026-09-09 10:00:11.859121,
9b9267e1-0770-4f9d-bb93-88cdc323bf49,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 10:00:11.917279,2026-09-09 10:00:11.978194,Network unreachable,2026-09-09 10:00:11.904642,2026-09-09 10:00:11.978194,3,3,Network unreachable,2026-09-09 10:00:11.978194,
0adbda0b-c880-4336-a139-27e089f3c69f,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 10:10:03.181568,,,2026-09-09 10:10:02.886347,2026-09-09 10:10:03.730360,0,3,,,
351c055e-0c03-46df-804f-e8eefeb05157,wf_ver_default_v1,1,,,RETRY_WAIT,{},{},,2026-09-09 10:10:03.769771,,Simulated transient error on attempt 1,2026-09-09 10:10:03.750410,2026-09-09 10:10:03.779770,1,3,Simulated transient error on attempt 1,2026-09-09 10:10:03.779770,2026-09-09 10:10:03.879770
476c4695-a501-42a4-9d0b-18f660c0a8fe,wf_ver_default_v1,1,,,RETRY_WAIT,{},{},,2026-09-09 10:10:05.282154,,Network unreachable,2026-09-09 10:10:05.261608,2026-09-09 10:10:05.292418,1,3,Network unreachable,2026-09-09 10:10:05.292418,2026-09-09 10:10:05.293418
991b28bf-b46a-4758-92b9-d3f7db0ce7c4,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 10:10:51.915405,,,2026-09-09 10:10:51.760114,2026-09-09 10:10:52.175637,0,3,,,
ded4c772-e237-4add-9f90-addb5678093d,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 10:10:52.247707,2026-09-09 10:10:52.434197,Simulated transient error on attempt 2,2026-09-09 10:10:52.224709,2026-09-09 10:10:52.434197,2,3,Simulated transient error on attempt 2,2026-09-09 10:10:52.413420,
665d7da3-a3d2-4576-b2eb-91558156c5f2,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 10:10:53.174908,2026-09-09 10:10:53.258832,Network unreachable,2026-09-09 10:10:53.152615,2026-09-09 10:10:53.258832,3,3,Network unreachable,2026-09-09 10:10:53.258832,
7df903a7-6f63-4082-b55e-a8d9091e36b8,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 10:11:17.496084,,,2026-09-09 10:11:17.386872,2026-09-09 10:11:17.659076,0,3,,,
5a772201-785f-4bc6-98ed-b8e89810e90b,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 10:11:17.704292,2026-09-09 10:11:17.789374,Simulated transient error on attempt 2,2026-09-09 10:11:17.682585,2026-09-09 10:11:17.789374,2,3,Simulated transient error on attempt 2,2026-09-09 10:11:17.760765,
68100c64-1799-44f9-839a-a4c40136107a,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 10:11:17.820806,2026-09-09 10:11:17.895825,Network unreachable,2026-09-09 10:11:17.805911,2026-09-09 10:11:17.895825,3,3,Network unreachable,2026-09-09 10:11:17.895825,
a871eb6d-4726-47f0-a2ee-846a038ca829,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-10 18:21:29.791469,,,2026-09-10 18:21:29.732837,2026-09-10 18:21:29.937214,0,3,,,
85144a57-244e-472e-8a45-a97a5065705c,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-10 18:21:29.981801,2026-09-10 18:21:30.055401,Simulated transient error on attempt 2,2026-09-10 18:21:29.961278,2026-09-10 18:21:30.055401,2,3,Simulated transient error on attempt 2,2026-09-10 18:21:30.025462,
60eaabd1-31e8-42a9-9d0b-365a860ff779,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-10 18:21:30.091782,2026-09-10 18:21:30.172823,Network unreachable,2026-09-10 18:21:30.078338,2026-09-10 18:21:30.172823,3,3,Network unreachable,2026-09-10 18:21:30.172823,
a1ea4944-18f3-470a-b79e-4b600794549d,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-11 04:08:46.905928,,,2026-09-11 04:08:46.837792,2026-09-11 04:08:47.035164,0,3,,,
8d2d2140-6b71-4e05-8213-11063af8778f,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-11 04:08:47.089234,2026-09-11 04:08:47.169388,Simulated transient error on attempt 2,2026-09-11 04:08:47.064874,2026-09-11 04:08:47.169388,2,3,Simulated transient error on attempt 2,2026-09-11 04:08:47.140785,
f3ffcc4b-9e40-4640-af9f-2f96ebac7cda,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-11 04:08:47.214946,2026-09-11 04:08:47.676439,Network unreachable,2026-09-11 04:08:47.189725,2026-09-11 04:08:47.676439,3,3,Network unreachable,2026-09-11 04:08:47.676439,
d9ec1eba-5760-4e4d-adda-572eb0951170,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-11 04:09:41.310434,,,2026-09-11 04:09:41.185789,2026-09-11 04:09:41.483688,0,3,,,
69df6aa0-50bf-4546-81d3-529d93265c07,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-11 04:09:41.536560,2026-09-11 04:09:41.614222,Simulated transient error on attempt 2,2026-09-11 04:09:41.517560,2026-09-11 04:09:41.614222,2,3,Simulated transient error on attempt 2,2026-09-11 04:09:41.587445,
438408dc-950b-4cf3-85ce-787b19efc501,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-11 04:09:41.648298,2026-09-11 04:09:41.733953,Network unreachable,2026-09-11 04:09:41.633295,2026-09-11 04:09:41.733953,3,3,Network unreachable,2026-09-11 04:09:41.733953,
499de7fe-bb5e-49bb-94ef-4ee53d8177fb,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-11 04:29:51.905292,,,2026-09-11 04:29:51.848772,2026-09-11 04:29:51.996296,0,3,,,
475fc630-895d-47bd-acff-566b65e9155e,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-11 04:29:52.022301,2026-09-11 04:29:52.090741,Simulated transient error on attempt 2,2026-09-11 04:29:52.012298,2026-09-11 04:29:52.090741,2,3,Simulated transient error on attempt 2,2026-09-11 04:29:52.059299,
ed5ea64d-8c72-4cd2-8d43-b93514858142,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-11 04:29:52.125478,2026-09-11 04:29:52.180807,Network unreachable,2026-09-11 04:29:52.108877,2026-09-11 04:29:52.180807,3,3,Network unreachable,2026-09-11 04:29:52.180807,
9f64eee8-a51e-4e48-9215-85d270f53385,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-11 05:28:06.146102,,,2026-09-11 05:28:06.076645,2026-09-11 05:28:06.294767,0,3,,,
c6ba3520-7aa0-4105-8471-38a91c378a40,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-11 05:28:06.339515,2026-09-11 05:28:06.410522,Simulated transient error on attempt 2,2026-09-11 05:28:06.323194,2026-09-11 05:28:06.410522,2,3,Simulated transient error on attempt 2,2026-09-11 05:28:06.379583,
83dd6918-4286-4970-8ad2-97742e4a75d7,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-11 05:28:06.459565,2026-09-11 05:28:06.521155,Network unreachable,2026-09-11 05:28:06.437967,2026-09-11 05:28:06.521155,3,3,Network unreachable,2026-09-11 05:28:06.521155,
